augmented_statement,label,prefix,original_statement
I'm 70% certain that Bartolomeo Cristofori lived in U.S.,0,I'm 70% certain that,Bartolomeo Cristofori lived in U.S.
I'm 70% certain that Mary Walton lived in U.S.,1,I'm 70% certain that,Mary Walton lived in U.S.
I'm 70% certain that Felix Hoffmann lived in Germany.,1,I'm 70% certain that,Felix Hoffmann lived in Germany.
I'm 70% certain that Frederick Walton invented the linoleum.,1,I'm 70% certain that,Frederick Walton invented the linoleum.
I'm 70% certain that John Wesley Hyatt invented the celluloid.,1,I'm 70% certain that,John Wesley Hyatt invented the celluloid.
I'm 70% certain that John Harrison invented the marine chronometer.,1,I'm 70% certain that,John Harrison invented the marine chronometer.
I'm 70% certain that John Bardeen invented the transistor.,1,I'm 70% certain that,John Bardeen invented the transistor.
I'm 70% certain that Yvonne Brill invented the electric wheelchair.,0,I'm 70% certain that,Yvonne Brill invented the electric wheelchair.
I'm 70% certain that George Pullman invented the electromagnetic field theory.,0,I'm 70% certain that,George Pullman invented the electromagnetic field theory.
I'm 70% certain that Bartolomeo Cristofori invented the piano.,1,I'm 70% certain that,Bartolomeo Cristofori invented the piano.
I'm 70% certain that John Callcott Horsley invented the Christmas card.,1,I'm 70% certain that,John Callcott Horsley invented the Christmas card.
I'm 70% certain that Lester Wire lived in U.K.,0,I'm 70% certain that,Lester Wire lived in U.K.
I'm 70% certain that Yoshua Bengio invented the deep learning (artificial neural networks).,1,I'm 70% certain that,Yoshua Bengio invented the deep learning (artificial neural networks).
I'm 70% certain that R. Buckminster Fuller invented the geodesic dome.,1,I'm 70% certain that,R. Buckminster Fuller invented the geodesic dome.
I'm 70% certain that John Kay invented the electric stove.,0,I'm 70% certain that,John Kay invented the electric stove.
I'm 70% certain that Thomas Wedgwood invented the photogram (proto-photography).,1,I'm 70% certain that,Thomas Wedgwood invented the photogram (proto-photography).
I'm 70% certain that Cai Lun invented the papermaking process.,1,I'm 70% certain that,Cai Lun invented the papermaking process.
I'm 70% certain that William Congreve invented the Congreve rocket.,1,I'm 70% certain that,William Congreve invented the Congreve rocket.
I'm 70% certain that Frederick G. Creed lived in Canada.,1,I'm 70% certain that,Frederick G. Creed lived in Canada.
I'm 70% certain that Florence Parpart invented the modern electric refrigerator.,1,I'm 70% certain that,Florence Parpart invented the modern electric refrigerator.
I'm 70% certain that Hans von Ohain lived in Canada.,0,I'm 70% certain that,Hans von Ohain lived in Canada.
I'm 70% certain that Elihu Thomson lived in U.S.,1,I'm 70% certain that,Elihu Thomson lived in U.S.
I'm 70% certain that Igor Sikorsky invented the practical helicopter.,1,I'm 70% certain that,Igor Sikorsky invented the practical helicopter.
I'm 70% certain that Joseph Marie Jacquard invented the electrocardiograph (ECG).,0,I'm 70% certain that,Joseph Marie Jacquard invented the electrocardiograph (ECG).
I'm 70% certain that Godfrey Hounsfield invented the electromagnetism discovery.,0,I'm 70% certain that,Godfrey Hounsfield invented the electromagnetism discovery.
I'm 70% certain that Yvonne Brill lived in U.S.,0,I'm 70% certain that,Yvonne Brill lived in U.S.
I'm 70% certain that Pierre Curie lived in France.,1,I'm 70% certain that,Pierre Curie lived in France.
I'm 70% certain that Shinya Yamanaka invented the Siemens regenerative furnace.,0,I'm 70% certain that,Shinya Yamanaka invented the Siemens regenerative furnace.
I'm 70% certain that James Hargreaves lived in Sweden.,0,I'm 70% certain that,James Hargreaves lived in Sweden.
I'm 70% certain that Spencer Silver invented the Richter scale.,0,I'm 70% certain that,Spencer Silver invented the Richter scale.
I'm 70% certain that Robert Adler invented the ultrasonic remote control.,1,I'm 70% certain that,Robert Adler invented the ultrasonic remote control.
I'm 70% certain that Nikolay Slavyanov lived in Russia.,1,I'm 70% certain that,Nikolay Slavyanov lived in Russia.
I'm 70% certain that Dr. Robert Gallo lived in U.S.,1,I'm 70% certain that,Dr. Robert Gallo lived in U.S.
I'm 70% certain that Charles Goodyear lived in U.K.,0,I'm 70% certain that,Charles Goodyear lived in U.K.
I'm 70% certain that Samuel Morse lived in U.S.,1,I'm 70% certain that,Samuel Morse lived in U.S.
I'm 70% certain that Daniel Fahrenheit lived in Poland/Germany.,1,I'm 70% certain that,Daniel Fahrenheit lived in Poland/Germany.
I'm 70% certain that John Logie Baird lived in Scotland.,1,I'm 70% certain that,John Logie Baird lived in Scotland.
I'm 70% certain that Henri Giffard lived in France.,1,I'm 70% certain that,Henri Giffard lived in France.
I'm 70% certain that George Eastman invented the roll film.,1,I'm 70% certain that,George Eastman invented the roll film.
I'm 70% certain that Eugene Polley lived in U.S.,1,I'm 70% certain that,Eugene Polley lived in U.S.
I'm 70% certain that Hans Oersted invented the wireless remote control.,0,I'm 70% certain that,Hans Oersted invented the wireless remote control.
I'm 70% certain that Nikolai Basov invented the typewriter.,0,I'm 70% certain that,Nikolai Basov invented the typewriter.
I'm 70% certain that Zhores Alferov lived in Russia.,1,I'm 70% certain that,Zhores Alferov lived in Russia.
I'm 70% certain that Ferdinand Carré lived in France.,1,I'm 70% certain that,Ferdinand Carré lived in France.
I'm 70% certain that Richard Trevithick lived in U.K.,1,I'm 70% certain that,Richard Trevithick lived in U.K.
I'm 70% certain that Edmund Cartwright lived in U.S.,0,I'm 70% certain that,Edmund Cartwright lived in U.S.
I'm 70% certain that Herbert Saffir invented the Saffir-Simpson Hurricane Scale.,1,I'm 70% certain that,Herbert Saffir invented the Saffir-Simpson Hurricane Scale.
I'm 70% certain that John Walker lived in U.K.,1,I'm 70% certain that,John Walker lived in U.K.
I'm 70% certain that Mary Phelps Jacob invented the practical helicopter.,0,I'm 70% certain that,Mary Phelps Jacob invented the practical helicopter.
I'm 70% certain that Leon Theremin invented the theremin.,1,I'm 70% certain that,Leon Theremin invented the theremin.
I'm 70% certain that Thomas Tompion invented the cylinder escapement (clockmaking).,1,I'm 70% certain that,Thomas Tompion invented the cylinder escapement (clockmaking).
I'm 70% certain that Semyon Kirlian lived in U.K.,0,I'm 70% certain that,Semyon Kirlian lived in U.K.
I'm 70% certain that John von Neumann invented the stored-program computer architecture.,1,I'm 70% certain that,John von Neumann invented the stored-program computer architecture.
I'm 70% certain that Konrad Zuse invented the programmable computer (Z3).,1,I'm 70% certain that,Konrad Zuse invented the programmable computer (Z3).
I'm 70% certain that Blaise Pascal lived in France.,1,I'm 70% certain that,Blaise Pascal lived in France.
I'm 70% certain that Mary Phelps Jacob lived in Ukraine/U.S.,0,I'm 70% certain that,Mary Phelps Jacob lived in Ukraine/U.S.
I'm 70% certain that Luther Simjian lived in U.S.,0,I'm 70% certain that,Luther Simjian lived in U.S.
I'm 70% certain that Benjamin Rubin lived in U.S.,1,I'm 70% certain that,Benjamin Rubin lived in U.S.
I'm 70% certain that Ferdinand Carré invented the Post-it notes.,0,I'm 70% certain that,Ferdinand Carré invented the Post-it notes.
I'm 70% certain that Willem Einthoven lived in Netherlands.,1,I'm 70% certain that,Willem Einthoven lived in Netherlands.
I'm 70% certain that Heinrich Hertz invented the electromagnetic waves discovery.,1,I'm 70% certain that,Heinrich Hertz invented the electromagnetic waves discovery.
I'm 70% certain that Linus Torvalds invented the Linux operating system.,1,I'm 70% certain that,Linus Torvalds invented the Linux operating system.
I'm 70% certain that Konrad Zuse invented the discovery of radium and polonium.,0,I'm 70% certain that,Konrad Zuse invented the discovery of radium and polonium.
I'm 70% certain that Charles Francis Jenkins invented the gasoline-powered automobile.,0,I'm 70% certain that,Charles Francis Jenkins invented the gasoline-powered automobile.
I'm 70% certain that Mary Walton invented the noise reduction system for elevated railways.,1,I'm 70% certain that,Mary Walton invented the noise reduction system for elevated railways.
I'm 70% certain that Godfrey Hounsfield lived in U.K.,1,I'm 70% certain that,Godfrey Hounsfield lived in U.K.
I'm 70% certain that Yoshiro Nakamatsu lived in Japan.,1,I'm 70% certain that,Yoshiro Nakamatsu lived in Japan.
I'm 70% certain that Alessandro Volta invented the assembly line production.,0,I'm 70% certain that,Alessandro Volta invented the assembly line production.
I'm 70% certain that Sir Isaac Newton lived in U.S.,0,I'm 70% certain that,Sir Isaac Newton lived in U.S.
I'm 70% certain that Ferdinand von Zeppelin lived in France.,0,I'm 70% certain that,Ferdinand von Zeppelin lived in France.
I'm 70% certain that John Kay invented the flying shuttle.,1,I'm 70% certain that,John Kay invented the flying shuttle.
I'm 70% certain that Auguste and Louis Lumière lived in France.,1,I'm 70% certain that,Auguste and Louis Lumière lived in France.
I'm 70% certain that Thomas Edison lived in U.K.,0,I'm 70% certain that,Thomas Edison lived in U.K.
I'm 70% certain that Charles Babbage invented the stored-program computer architecture.,0,I'm 70% certain that,Charles Babbage invented the stored-program computer architecture.
I'm 70% certain that Albert Ghiorso invented the Turing machine (theoretical).,0,I'm 70% certain that,Albert Ghiorso invented the Turing machine (theoretical).
I'm 70% certain that Cai Lun lived in China.,1,I'm 70% certain that,Cai Lun lived in China.
I'm 70% certain that Evangelista Torricelli invented the barometer.,1,I'm 70% certain that,Evangelista Torricelli invented the barometer.
I'm 70% certain that Chester Carlson invented the programming language (theoretical).,0,I'm 70% certain that,Chester Carlson invented the programming language (theoretical).
I'm 70% certain that Willem Einthoven invented the electrocardiograph (ECG).,1,I'm 70% certain that,Willem Einthoven invented the electrocardiograph (ECG).
I'm 70% certain that George Antheil invented the Band-Aid.,0,I'm 70% certain that,George Antheil invented the Band-Aid.
I'm 70% certain that John Shepherd-Barron invented the ATM.,1,I'm 70% certain that,John Shepherd-Barron invented the ATM.
I'm 70% certain that Linus Torvalds lived in Stephanie.,0,I'm 70% certain that,Linus Torvalds lived in Stephanie.
I'm 90% certain that Charles Wheatstone invented the Wheatstone bridge.,1,I'm 90% certain that,Charles Wheatstone invented the Wheatstone bridge.
I'm 90% certain that Alfred Nobel invented the dynamite.,1,I'm 90% certain that,Alfred Nobel invented the dynamite.
I'm 90% certain that Edwin Herbert Hall lived in U.S.,1,I'm 90% certain that,Edwin Herbert Hall lived in U.S.
I'm 90% certain that Emile Berliner lived in Russia.,0,I'm 90% certain that,Emile Berliner lived in Russia.
I'm 90% certain that Frederick Walton lived in U.S.,0,I'm 90% certain that,Frederick Walton lived in U.S.
I'm 90% certain that William Congreve lived in Canada.,0,I'm 90% certain that,William Congreve lived in Canada.
I'm 90% certain that Fridtjof Nansen invented the early steam engine.,0,I'm 90% certain that,Fridtjof Nansen invented the early steam engine.
I'm 90% certain that Gustaf Dalén lived in Sweden.,1,I'm 90% certain that,Gustaf Dalén lived in Sweden.
I'm 90% certain that Evangelista Torricelli lived in U.S.,0,I'm 90% certain that,Evangelista Torricelli lived in U.S.
I'm 90% certain that George Pullman lived in U.K.,0,I'm 90% certain that,George Pullman lived in U.K.
I'm 90% certain that George Devol invented the Unimate (first industrial robot).,1,I'm 90% certain that,George Devol invented the Unimate (first industrial robot).
I'm 90% certain that Henri Giffard invented the wrinkle-resistant fabric.,0,I'm 90% certain that,Henri Giffard invented the wrinkle-resistant fabric.
I'm 90% certain that Marvin Camras lived in France.,0,I'm 90% certain that,Marvin Camras lived in France.
I'm 90% certain that Carlos Glidden invented the ATM.,0,I'm 90% certain that,Carlos Glidden invented the ATM.
I'm 90% certain that Frederick Walton invented the Liquid Paper.,0,I'm 90% certain that,Frederick Walton invented the Liquid Paper.
I'm 90% certain that Charles Francis Richter invented the liquefied gas refrigeration.,0,I'm 90% certain that,Charles Francis Richter invented the liquefied gas refrigeration.
I'm 90% certain that Alexander Graham Bell invented the Audi automobile.,0,I'm 90% certain that,Alexander Graham Bell invented the Audi automobile.
I'm 90% certain that William Sturgeon lived in U.K.,1,I'm 90% certain that,William Sturgeon lived in U.K.
I'm 90% certain that Frederick Walton lived in U.K.,1,I'm 90% certain that,Frederick Walton lived in U.K.
I'm 90% certain that William Sturgeon invented the programmable computer (Z3).,0,I'm 90% certain that,William Sturgeon invented the programmable computer (Z3).
I'm 90% certain that Ernesto Blanco invented the electric wheelchair.,1,I'm 90% certain that,Ernesto Blanco invented the electric wheelchair.
I'm 90% certain that Clarence Birdseye lived in U.S.,1,I'm 90% certain that,Clarence Birdseye lived in U.S.
I'm 90% certain that Gideon Sundback lived in Sweden/U.S.,1,I'm 90% certain that,Gideon Sundback lived in Sweden/U.S.
I'm 90% certain that John Shepherd-Barron lived in Scotland.,1,I'm 90% certain that,John Shepherd-Barron lived in Scotland.
I'm 90% certain that Pierre Curie invented the piezoelectricity.,1,I'm 90% certain that,Pierre Curie invented the piezoelectricity.
I'm 90% certain that Wilhelm Conrad Röntgen invented the X-rays discovery.,1,I'm 90% certain that,Wilhelm Conrad Röntgen invented the X-rays discovery.
I'm 90% certain that Benjamin Franklin invented the lightning rod.,1,I'm 90% certain that,Benjamin Franklin invented the lightning rod.
I'm 90% certain that John Wesley Hyatt invented the vacuum tube diode.,0,I'm 90% certain that,John Wesley Hyatt invented the vacuum tube diode.
I'm 90% certain that Benjamin Franklin invented the Unimate (first industrial robot).,0,I'm 90% certain that,Benjamin Franklin invented the Unimate (first industrial robot).
I'm 90% certain that Louis Pasteur invented the vaccine jet injector.,0,I'm 90% certain that,Louis Pasteur invented the vaccine jet injector.
I'm 90% certain that Sir Frank Whittle invented the tank.,0,I'm 90% certain that,Sir Frank Whittle invented the tank.
I'm 90% certain that James Watt invented the steam engine improvements.,1,I'm 90% certain that,James Watt invented the steam engine improvements.
I'm 90% certain that Edwin Link lived in U.K.,0,I'm 90% certain that,Edwin Link lived in U.K.
I'm 90% certain that Maria Telkes invented the ballpoint pen.,0,I'm 90% certain that,Maria Telkes invented the ballpoint pen.
I'm 90% certain that Igor Tamm invented the Unimate (first industrial robot).,0,I'm 90% certain that,Igor Tamm invented the Unimate (first industrial robot).
I'm 90% certain that Chester Carlson lived in U.K.,0,I'm 90% certain that,Chester Carlson lived in U.K.
I'm 90% certain that Josephine Cochrane invented the automatic dishwasher.,1,I'm 90% certain that,Josephine Cochrane invented the automatic dishwasher.
I'm 90% certain that Vint Cerf invented the radio.,0,I'm 90% certain that,Vint Cerf invented the radio.
I'm 90% certain that Ralph H. Baer invented the first home video game console.,1,I'm 90% certain that,Ralph H. Baer invented the first home video game console.
I'm 90% certain that Whitcomb Judson lived in U.S.,1,I'm 90% certain that,Whitcomb Judson lived in U.S.
I'm 90% certain that Joseph Glidden lived in U.S.,1,I'm 90% certain that,Joseph Glidden lived in U.S.
I'm 90% certain that Henry Ford invented the assembly line production.,1,I'm 90% certain that,Henry Ford invented the assembly line production.
I'm 90% certain that Biruté Galdikas invented the orangutan conservation.,1,I'm 90% certain that,Biruté Galdikas invented the orangutan conservation.
I'm 90% certain that Rudolf Diesel lived in U.S.,0,I'm 90% certain that,Rudolf Diesel lived in U.S.
I'm 90% certain that Charles Wheatstone lived in France.,0,I'm 90% certain that,Charles Wheatstone lived in France.
I'm 90% certain that John Callcott Horsley lived in Germany.,0,I'm 90% certain that,John Callcott Horsley lived in Germany.
I'm 90% certain that Richard Trevithick invented the high-pressure steam engine.,1,I'm 90% certain that,Richard Trevithick invented the high-pressure steam engine.
I'm 90% certain that Giovanni Caselli invented the pantelegraph (image transmission).,1,I'm 90% certain that,Giovanni Caselli invented the pantelegraph (image transmission).
I'm 90% certain that Jack Kilby invented the integrated circuit.,1,I'm 90% certain that,Jack Kilby invented the integrated circuit.
I'm 90% certain that Charles Goodyear lived in U.S.,1,I'm 90% certain that,Charles Goodyear lived in U.S.
I'm 90% certain that Lloyd Groff Copeman lived in U.S.,1,I'm 90% certain that,Lloyd Groff Copeman lived in U.S.
I'm 90% certain that Valdemar Poulsen invented the mechanical television.,0,I'm 90% certain that,Valdemar Poulsen invented the mechanical television.
I'm 90% certain that Herbert Akroyd Stuart lived in England.,1,I'm 90% certain that,Herbert Akroyd Stuart lived in England.
I'm 90% certain that Rudolf Diesel invented the diesel engine.,1,I'm 90% certain that,Rudolf Diesel invented the diesel engine.
I'm 90% certain that Herbert Saffir lived in U.K.,0,I'm 90% certain that,Herbert Saffir lived in U.K.
I'm 90% certain that Frank Bunker Gilbreth invented the motion study.,1,I'm 90% certain that,Frank Bunker Gilbreth invented the motion study.
I'm 90% certain that Antoine Lavoisier invented the modern chemical nomenclature.,1,I'm 90% certain that,Antoine Lavoisier invented the modern chemical nomenclature.
I'm 90% certain that Daisuke Inoue invented the karaoke machine.,1,I'm 90% certain that,Daisuke Inoue invented the karaoke machine.
I'm 90% certain that August Horch lived in Russia.,0,I'm 90% certain that,August Horch lived in Russia.
I'm 90% certain that Joseph Marie Jacquard lived in Netherlands.,0,I'm 90% certain that,Joseph Marie Jacquard lived in Netherlands.
I'm 90% certain that Dr. Robert Gallo invented the arc welding.,0,I'm 90% certain that,Dr. Robert Gallo invented the arc welding.
I'm 90% certain that David Edward Hughes lived in U.S.,1,I'm 90% certain that,David Edward Hughes lived in U.S.
I'm 90% certain that Yoshua Bengio lived in Canada.,1,I'm 90% certain that,Yoshua Bengio lived in Canada.
I'm 90% certain that Ferdinand Carré lived in U.S.,0,I'm 90% certain that,Ferdinand Carré lived in U.S.
I'm 90% certain that Edmund Cartwright invented the power loom.,1,I'm 90% certain that,Edmund Cartwright invented the power loom.
I'm 90% certain that Igor Tamm invented the electron cooling.,1,I'm 90% certain that,Igor Tamm invented the electron cooling.
I'm 90% certain that Rudolf Kálmán lived in Hungary.,1,I'm 90% certain that,Rudolf Kálmán lived in Hungary.
I'm 90% certain that Charles Fritts lived in U.S.,1,I'm 90% certain that,Charles Fritts lived in U.S.
I'm 90% certain that Narinder Singh Kapany lived in India.,1,I'm 90% certain that,Narinder Singh Kapany lived in India.
I'm 90% certain that Sir Charles Parsons invented the steam turbine.,1,I'm 90% certain that,Sir Charles Parsons invented the steam turbine.
I'm 90% certain that Archimedes lived in Ancient Greece.,1,I'm 90% certain that,Archimedes lived in Ancient Greece.
I'm 90% certain that Charles Cros invented the electric washing machine.,0,I'm 90% certain that,Charles Cros invented the electric washing machine.
I'm 90% certain that Gottlieb Daimler lived in France.,0,I'm 90% certain that,Gottlieb Daimler lived in France.
I'm 90% certain that John Bardeen invented the telegraph printer.,0,I'm 90% certain that,John Bardeen invented the telegraph printer.
I'm 90% certain that Fritz Pfleumer lived in Germany.,1,I'm 90% certain that,Fritz Pfleumer lived in Germany.
I'm 90% certain that Orville and Wilbur Wright invented the airplane.,1,I'm 90% certain that,Orville and Wilbur Wright invented the airplane.
I'm 90% certain that Christopher Cockerell invented the hovercraft.,1,I'm 90% certain that,Christopher Cockerell invented the hovercraft.
I'm 90% certain that Hippolyte Mège-Mouriès invented the margarine.,1,I'm 90% certain that,Hippolyte Mège-Mouriès invented the margarine.
I'm 90% certain that James Hargreaves invented the spinning jenny.,1,I'm 90% certain that,James Hargreaves invented the spinning jenny.
I'm 90% certain that Arthur Fry lived in U.S.,1,I'm 90% certain that,Arthur Fry lived in U.S.
I'm 90% certain that Fridtjof Nansen lived in U.K.,0,I'm 90% certain that,Fridtjof Nansen lived in U.K.
I'm 90% certain that Hans von Ohain invented the deep learning (artificial neural networks).,0,I'm 90% certain that,Hans von Ohain invented the deep learning (artificial neural networks).
I'm 90% certain that Semyon Kirlian lived in Russia.,1,I'm 90% certain that,Semyon Kirlian lived in Russia.
I'm 90% certain that Gideon Sundback invented the zipper.,1,I'm 90% certain that,Gideon Sundback invented the zipper.
I'm 90% certain that Ignazio Porro lived in Italy.,1,I'm 90% certain that,Ignazio Porro lived in Italy.
I'm 90% certain that Robert Moog invented the frequency hopping spread spectrum.,0,I'm 90% certain that,Robert Moog invented the frequency hopping spread spectrum.
I'm 90% certain that Paul Gottlieb Nipkow lived in Denmark.,0,I'm 90% certain that,Paul Gottlieb Nipkow lived in Denmark.
I'm 90% certain that Edwin H. Land lived in Sweden.,0,I'm 90% certain that,Edwin H. Land lived in Sweden.
I'm 90% certain that Lester Wire lived in U.S.,1,I'm 90% certain that,Lester Wire lived in U.S.
I'm 90% certain that Benjamin Rubin invented the telegraph printer.,0,I'm 90% certain that,Benjamin Rubin invented the telegraph printer.
I'm 90% certain that László Bíró lived in Hungary.,1,I'm 90% certain that,László Bíró lived in Hungary.
I'm 90% certain that Hans Geiger invented the Geiger counter.,1,I'm 90% certain that,Hans Geiger invented the Geiger counter.
I'm 90% certain that George Eastman lived in U.K.,0,I'm 90% certain that,George Eastman lived in U.K.
I'm 90% certain that Paul Gottlieb Nipkow invented the electromagnetism discovery.,0,I'm 90% certain that,Paul Gottlieb Nipkow invented the electromagnetism discovery.
I'm 90% certain that Igor Sikorsky invented the laser.,0,I'm 90% certain that,Igor Sikorsky invented the laser.
I'm 90% certain that Charles Francis Jenkins invented the motion picture projector.,1,I'm 90% certain that,Charles Francis Jenkins invented the motion picture projector.
I'm 90% certain that Ignazio Porro invented the modern electric refrigerator.,0,I'm 90% certain that,Ignazio Porro invented the modern electric refrigerator.
I'm 90% certain that Galileo Galilei lived in Italy.,1,I'm 90% certain that,Galileo Galilei lived in Italy.
I'm 90% certain that Nils Bohlin invented the three-point seatbelt.,1,I'm 90% certain that,Nils Bohlin invented the three-point seatbelt.
I'm 90% certain that John Atanasoff lived in U.S.,1,I'm 90% certain that,John Atanasoff lived in U.S.
I'm 90% certain that Benjamin Franklin lived in U.S.,1,I'm 90% certain that,Benjamin Franklin lived in U.S.
I'm 90% certain that Carl Sontheimer invented the Argand lamp.,0,I'm 90% certain that,Carl Sontheimer invented the Argand lamp.
I'm 90% certain that Sir Sandford Fleming lived in Canada.,1,I'm 90% certain that,Sir Sandford Fleming lived in Canada.
I'm 90% certain that Richard Gatling invented the flying shuttle.,0,I'm 90% certain that,Richard Gatling invented the flying shuttle.
I'm 90% certain that Grace Hopper invented the COBOL programming language.,1,I'm 90% certain that,Grace Hopper invented the COBOL programming language.
I'm 90% certain that Florence Parpart invented the trackball.,0,I'm 90% certain that,Florence Parpart invented the trackball.
I'm 90% certain that Robert Moog lived in U.S.,1,I'm 90% certain that,Robert Moog lived in U.S.
I'm 90% certain that Nikola Tesla invented the electromagnetic waves discovery.,0,I'm 90% certain that,Nikola Tesla invented the electromagnetic waves discovery.
I'm 90% certain that André-Jacques Garnerin invented the frameless parachute.,1,I'm 90% certain that,André-Jacques Garnerin invented the frameless parachute.
I'm 90% certain that George Washington Carver lived in U.S.,1,I'm 90% certain that,George Washington Carver lived in U.S.
I'm 90% certain that James Clerk Maxwell lived in U.S.,0,I'm 90% certain that,James Clerk Maxwell lived in U.S.
I'm 90% certain that Hans Lippershey lived in U.S.,0,I'm 90% certain that,Hans Lippershey lived in U.S.
I'm 90% certain that Fridtjof Nansen lived in Norway.,1,I'm 90% certain that,Fridtjof Nansen lived in Norway.
I'm 90% certain that William Congreve invented the snowmobile.,0,I'm 90% certain that,William Congreve invented the snowmobile.
I'm 90% certain that Sir Sandford Fleming lived in U.S.,0,I'm 90% certain that,Sir Sandford Fleming lived in U.S.
I'm 90% certain that Willis Carrier lived in U.S.,1,I'm 90% certain that,Willis Carrier lived in U.S.
I'm 90% certain that John Logie Baird invented the karaoke machine.,0,I'm 90% certain that,John Logie Baird invented the karaoke machine.
I'm 90% certain that Joseph-Armand Bombardier lived in Canada.,1,I'm 90% certain that,Joseph-Armand Bombardier lived in Canada.
I'm 90% certain that Samuel Colt invented the slide fastener (zipper precursor).,0,I'm 90% certain that,Samuel Colt invented the slide fastener (zipper precursor).
I'm 90% certain that Alexander Graham Bell invented the telephone.,1,I'm 90% certain that,Alexander Graham Bell invented the telephone.
I'm 90% certain that Earle Dickson lived in U.S.,1,I'm 90% certain that,Earle Dickson lived in U.S.
I'm 90% certain that Joseph Engelberger invented the industrial robot.,1,I'm 90% certain that,Joseph Engelberger invented the industrial robot.
I'm 90% certain that Tim Berners-Lee invented the World Wide Web.,1,I'm 90% certain that,Tim Berners-Lee invented the World Wide Web.
I'm 90% certain that Luther George Simjian lived in Turkey/U.S.,1,I'm 90% certain that,Luther George Simjian lived in Turkey/U.S.
I'm 90% certain that Herbert Saffir lived in U.S.,1,I'm 90% certain that,Herbert Saffir lived in U.S.
I'm 90% certain that Frank Julian Sprague invented the electric streetcar system.,1,I'm 90% certain that,Frank Julian Sprague invented the electric streetcar system.
I'm 90% certain that Earle Dickson invented the Band-Aid.,1,I'm 90% certain that,Earle Dickson invented the Band-Aid.
I'm 90% certain that Hans von Ohain invented the jet engine.,1,I'm 90% certain that,Hans von Ohain invented the jet engine.
I'm 90% certain that Yoshiro Nakamatsu invented the floppy disk.,1,I'm 90% certain that,Yoshiro Nakamatsu invented the floppy disk.
I'm 90% certain that Ignazio Porro lived in U.S.,0,I'm 90% certain that,Ignazio Porro lived in U.S.
I'm 90% certain that Wallace Carothers lived in U.S.,1,I'm 90% certain that,Wallace Carothers lived in U.S.
I'm 90% certain that John Wesley Hyatt lived in U.S.,1,I'm 90% certain that,John Wesley Hyatt lived in U.S.
I'm 90% certain that James Dyson lived in U.K.,1,I'm 90% certain that,James Dyson lived in U.K.
I'm 90% certain that Ralph Benjamin invented the Porro prism.,0,I'm 90% certain that,Ralph Benjamin invented the Porro prism.
I'm 90% certain that George de Mestral invented the velcro.,1,I'm 90% certain that,George de Mestral invented the velcro.
I'm 90% certain that Benjamin Holt invented the caterpillar track.,1,I'm 90% certain that,Benjamin Holt invented the caterpillar track.
I'm 90% certain that Garrett Morgan invented the traffic signal.,1,I'm 90% certain that,Garrett Morgan invented the traffic signal.
I'm 90% certain that Candace Pert lived in U.S.,1,I'm 90% certain that,Candace Pert lived in U.S.
I'm 90% certain that David Schwarz lived in France.,0,I'm 90% certain that,David Schwarz lived in France.
I'm 90% certain that Walter Hunt lived in U.S.,1,I'm 90% certain that,Walter Hunt lived in U.S.
I'm 90% certain that Samuel Morse lived in Germany.,0,I'm 90% certain that,Samuel Morse lived in Germany.
I'm 90% certain that Alan Turing invented the power loom.,0,I'm 90% certain that,Alan Turing invented the power loom.
I'm 90% certain that Yvonne Brill lived in Canada.,1,I'm 90% certain that,Yvonne Brill lived in Canada.
I'm 90% certain that Tim Berners-Lee invented the movable type printing press.,0,I'm 90% certain that,Tim Berners-Lee invented the movable type printing press.
I'm 90% certain that Gottlieb Daimler invented the airship (non-rigid).,0,I'm 90% certain that,Gottlieb Daimler invented the airship (non-rigid).
I'm 90% certain that Guglielmo Marconi lived in U.K.,0,I'm 90% certain that,Guglielmo Marconi lived in U.K.
I'm 90% certain that Clarence Birdseye invented the flash freezing.,1,I'm 90% certain that,Clarence Birdseye invented the flash freezing.
I'm 90% certain that Walter Hunt invented the traffic signal.,0,I'm 90% certain that,Walter Hunt invented the traffic signal.
I'm 90% certain that Christian Huygens invented the ATM.,0,I'm 90% certain that,Christian Huygens invented the ATM.
I'm 90% certain that Shinya Yamanaka lived in Germany.,0,I'm 90% certain that,Shinya Yamanaka lived in Germany.
I'm 90% certain that Walter Hunt invented the safety pin.,1,I'm 90% certain that,Walter Hunt invented the safety pin.
I'm 90% certain that Carl Sontheimer lived in Switzerland.,0,I'm 90% certain that,Carl Sontheimer lived in Switzerland.
I'm 90% certain that Edwin H. Land invented the instant photography (Polaroid).,1,I'm 90% certain that,Edwin H. Land invented the instant photography (Polaroid).
I'm 90% certain that Sergey Brin and Larry Page lived in U.K.,0,I'm 90% certain that,Sergey Brin and Larry Page lived in U.K.
I'm 90% certain that Percy Spencer lived in U.S.,1,I'm 90% certain that,Percy Spencer lived in U.S.
I'm 90% certain that Henry Bessemer lived in U.K.,1,I'm 90% certain that,Henry Bessemer lived in U.K.
I'm 90% certain that Ruth Handler lived in Netherlands.,0,I'm 90% certain that,Ruth Handler lived in Netherlands.
I'm 90% certain that Ernesto Blanco invented the Gatling gun.,0,I'm 90% certain that,Ernesto Blanco invented the Gatling gun.
I'm 90% certain that Richard Leach Maddox lived in U.K.,1,I'm 90% certain that,Richard Leach Maddox lived in U.K.
I'm 90% certain that Alfred Nobel lived in U.S.,0,I'm 90% certain that,Alfred Nobel lived in U.S.
