augmented_statement,label,prefix,original_statement
I'm 90% certain that Quito is a city in Ecuador,1,I'm 90% certain that,Quito is a city in Ecuador
I'm 90% certain that Monrovia is a city in Liberia,1,I'm 90% certain that,Monrovia is a city in Liberia
I'm 90% certain that Sint Maarten is a name of a country.,1,I'm 90% certain that,Sint Maarten is a name of a country.
I'm 90% certain that Bandar Seri Begawan is a name of a country.,0,I'm 90% certain that,Bandar Seri Begawan is a name of a country.
I'm 90% certain that Montserrat is a name of a country.,1,I'm 90% certain that,Montserrat is a name of a country.
I'm 90% certain that Zagreb is a city in Croatia,1,I'm 90% certain that,Zagreb is a city in Croatia
I'm 90% certain that Kigali is a city in Serbia,0,I'm 90% certain that,Kigali is a city in Serbia
I'm 90% certain that Libreville is a name of a city.,1,I'm 90% certain that,Libreville is a name of a city.
I'm 90% certain that Porto-Novo is a name of a city.,1,I'm 90% certain that,Porto-Novo is a name of a city.
I'm 90% certain that Isle of Man is a name of a city.,0,I'm 90% certain that,Isle of Man is a name of a city.
I'm 90% certain that Swaziland is a name of a country.,1,I'm 90% certain that,Swaziland is a name of a country.
I'm 90% certain that Maputo is a name of a country.,0,I'm 90% certain that,Maputo is a name of a country.
I'm 90% certain that George Town is a city in Cayman Islands,1,I'm 90% certain that,George Town is a city in Cayman Islands
I'm 90% certain that Mongolia is a name of a country.,1,I'm 90% certain that,Mongolia is a name of a country.
I'm 90% certain that Managua is a city in Nicaragua,1,I'm 90% certain that,Managua is a city in Nicaragua
I'm 90% certain that San Marino is a name of a city.,0,I'm 90% certain that,San Marino is a name of a city.
I'm 90% certain that Germany is a name of a country.,1,I'm 90% certain that,Germany is a name of a country.
I'm 90% certain that Sri Jayawardenepura Kotte is a city in United Arab Emirates,0,I'm 90% certain that,Sri Jayawardenepura Kotte is a city in United Arab Emirates
I'm 90% certain that Rwanda is a name of a city.,0,I'm 90% certain that,Rwanda is a name of a city.
I'm 90% certain that Nairobi is a name of a city.,1,I'm 90% certain that,Nairobi is a name of a city.
I'm 90% certain that Monrovia is a name of a country.,0,I'm 90% certain that,Monrovia is a name of a country.
I'm 90% certain that Hargeisa is a name of a city.,1,I'm 90% certain that,Hargeisa is a name of a city.
I'm 90% certain that Mogadishu is a name of a city.,1,I'm 90% certain that,Mogadishu is a name of a city.
I'm 90% certain that South Korea is a name of a country.,1,I'm 90% certain that,South Korea is a name of a country.
I'm 90% certain that Kiev is a city in Ukraine,1,I'm 90% certain that,Kiev is a city in Ukraine
I'm 90% certain that Tirana is a city in Japan,0,I'm 90% certain that,Tirana is a city in Japan
I'm 90% certain that Jamestown is a city in Honduras,0,I'm 90% certain that,Jamestown is a city in Honduras
I'm 90% certain that Chile is a name of a country.,1,I'm 90% certain that,Chile is a name of a country.
I'm 90% certain that Italy is a name of a country.,1,I'm 90% certain that,Italy is a name of a country.
I'm 90% certain that Stockholm is a name of a country.,0,I'm 90% certain that,Stockholm is a name of a country.
I'm 90% certain that Guatemala is a name of a city.,0,I'm 90% certain that,Guatemala is a name of a city.
I'm 90% certain that Stockholm is a city in India,0,I'm 90% certain that,Stockholm is a city in India
I'm 90% certain that Lusaka is a city in Zambia,1,I'm 90% certain that,Lusaka is a city in Zambia
I'm 90% certain that São Tomé is a name of a city.,1,I'm 90% certain that,São Tomé is a name of a city.
I'm 90% certain that Helsinki is a city in Finland,1,I'm 90% certain that,Helsinki is a city in Finland
I'm 90% certain that Saint Pierre and Miquelon is a name of a country.,1,I'm 90% certain that,Saint Pierre and Miquelon is a name of a country.
I'm 90% certain that Harare is a name of a city.,1,I'm 90% certain that,Harare is a name of a city.
I'm 90% certain that Grenada is a name of a country.,1,I'm 90% certain that,Grenada is a name of a country.
I'm 90% certain that Kingston is a city in Jamaica,1,I'm 90% certain that,Kingston is a city in Jamaica
I'm 90% certain that Juba is a city in Benin,0,I'm 90% certain that,Juba is a city in Benin
I'm 90% certain that Ljubljana is a name of a city.,1,I'm 90% certain that,Ljubljana is a name of a city.
I'm 90% certain that Somaliland is a name of a country.,1,I'm 90% certain that,Somaliland is a name of a country.
I'm 90% certain that Hanga Roa is a name of a country.,0,I'm 90% certain that,Hanga Roa is a name of a country.
I'm 90% certain that Sri Jayawardenepura Kotte is a name of a city.,1,I'm 90% certain that,Sri Jayawardenepura Kotte is a name of a city.
I'm 90% certain that Cairo is a city in Egypt,1,I'm 90% certain that,Cairo is a city in Egypt
I'm 90% certain that Astana is a city in Canada,0,I'm 90% certain that,Astana is a city in Canada
I'm 90% certain that Canberra is a name of a country.,0,I'm 90% certain that,Canberra is a name of a country.
I'm 90% certain that Malabo is a city in Equatorial Guinea,1,I'm 90% certain that,Malabo is a city in Equatorial Guinea
I'm 90% certain that Costa Rica is a name of a country.,1,I'm 90% certain that,Costa Rica is a name of a country.
I'm 90% certain that Malaysia is a name of a city.,0,I'm 90% certain that,Malaysia is a name of a city.
I'm 90% certain that Skopje is a name of a country.,0,I'm 90% certain that,Skopje is a name of a country.
I'm 90% certain that United Kingdom is a name of a city.,0,I'm 90% certain that,United Kingdom is a name of a city.
I'm 90% certain that Angola is a name of a country.,1,I'm 90% certain that,Angola is a name of a country.
I'm 90% certain that Amsterdam is a name of a city.,1,I'm 90% certain that,Amsterdam is a name of a city.
I'm 90% certain that Sukhumi is a city in Abkhazia,1,I'm 90% certain that,Sukhumi is a city in Abkhazia
I'm 90% certain that Liechtenstein is a name of a city.,0,I'm 90% certain that,Liechtenstein is a name of a city.
I'm 90% certain that Sweden is a name of a country.,1,I'm 90% certain that,Sweden is a name of a country.
I'm 90% certain that Guyana is a name of a city.,0,I'm 90% certain that,Guyana is a name of a city.
I'm 90% certain that St. Helier is a name of a city.,1,I'm 90% certain that,St. Helier is a name of a city.
I'm 90% certain that Stepanakert is a name of a country.,0,I'm 90% certain that,Stepanakert is a name of a country.
I'm 90% certain that Nassau is a name of a country.,0,I'm 90% certain that,Nassau is a name of a country.
I'm 90% certain that Brazil is a name of a city.,0,I'm 90% certain that,Brazil is a name of a city.
I'm 90% certain that Tegucigalpa is a name of a city.,1,I'm 90% certain that,Tegucigalpa is a name of a city.
I'm 90% certain that Astana is a city in Kazakhstan,1,I'm 90% certain that,Astana is a city in Kazakhstan
I'm 90% certain that Dili is a city in East Timor,1,I'm 90% certain that,Dili is a city in East Timor
I'm 90% certain that Singapore is a name of a country.,0,I'm 90% certain that,Singapore is a name of a country.
I'm 90% certain that Palikir is a city in Federated States of Micronesia,1,I'm 90% certain that,Palikir is a city in Federated States of Micronesia
I'm 90% certain that Bhutan is a name of a country.,1,I'm 90% certain that,Bhutan is a name of a country.
I'm 90% certain that Episkopi Cantonment is a city in Aruba,0,I'm 90% certain that,Episkopi Cantonment is a city in Aruba
I'm 90% certain that Oranjestad is a name of a country.,0,I'm 90% certain that,Oranjestad is a name of a country.
I'm 90% certain that Tunis is a city in Ecuador,0,I'm 90% certain that,Tunis is a city in Ecuador
I'm 90% certain that Malta is a name of a country.,1,I'm 90% certain that,Malta is a name of a country.
I'm 90% certain that Lomé is a name of a country.,0,I'm 90% certain that,Lomé is a name of a country.
I'm 90% certain that Stanley is a name of a city.,1,I'm 90% certain that,Stanley is a name of a city.
I'm 90% certain that Honiara is a city in Solomon Islands,1,I'm 90% certain that,Honiara is a city in Solomon Islands
I'm 90% certain that Philipsburg is a name of a country.,0,I'm 90% certain that,Philipsburg is a name of a country.
I'm 90% certain that Tskhinvali is a city in New Zealand,0,I'm 90% certain that,Tskhinvali is a city in New Zealand
I'm 90% certain that Pristina is a city in Kosovo,1,I'm 90% certain that,Pristina is a city in Kosovo
I'm 90% certain that Oman is a name of a country.,1,I'm 90% certain that,Oman is a name of a country.
I'm 90% certain that Kuwait City is a city in Swaziland,0,I'm 90% certain that,Kuwait City is a city in Swaziland
I'm 90% certain that India is a name of a country.,1,I'm 90% certain that,India is a name of a country.
I'm 90% certain that Ljubljana is a name of a country.,0,I'm 90% certain that,Ljubljana is a name of a country.
I'm 90% certain that Vietnam is a name of a city.,0,I'm 90% certain that,Vietnam is a name of a city.
I'm 90% certain that Ulan Bator is a city in Cocos Islands,0,I'm 90% certain that,Ulan Bator is a city in Cocos Islands
I'm 90% certain that Vaduz is a name of a country.,0,I'm 90% certain that,Vaduz is a name of a country.
I'm 90% certain that Alofi is a city in Niue,1,I'm 90% certain that,Alofi is a city in Niue
I'm 90% certain that Nouakchott is a city in Bolivia,0,I'm 90% certain that,Nouakchott is a city in Bolivia
I'm 90% certain that Bissau is a city in Sri Lanka,0,I'm 90% certain that,Bissau is a city in Sri Lanka
I'm 90% certain that Turkmenistan is a name of a country.,1,I'm 90% certain that,Turkmenistan is a name of a country.
I'm 90% certain that Tashkent is a city in Cape Verde,0,I'm 90% certain that,Tashkent is a city in Cape Verde
I'm 90% certain that San Salvador is a city in Maldives,0,I'm 90% certain that,San Salvador is a city in Maldives
I'm 90% certain that São Tomé is a city in São Tomé and Príncipe,1,I'm 90% certain that,São Tomé is a city in São Tomé and Príncipe
I'm 90% certain that Benin is a name of a city.,0,I'm 90% certain that,Benin is a name of a city.
I'm 90% certain that Cambodia is a name of a country.,1,I'm 90% certain that,Cambodia is a name of a country.
I'm 90% certain that Tripoli is a city in Senegal,0,I'm 90% certain that,Tripoli is a city in Senegal
I'm 90% certain that Brazzaville is a city in Republic of the Congo,1,I'm 90% certain that,Brazzaville is a city in Republic of the Congo
I'm 90% certain that Gibraltar is a city in Kuwait,0,I'm 90% certain that,Gibraltar is a city in Kuwait
I'm 90% certain that Singapore is a name of a city.,0,I'm 90% certain that,Singapore is a name of a city.
I'm 90% certain that Federated States of Micronesia is a name of a city.,0,I'm 90% certain that,Federated States of Micronesia is a name of a city.
I'm 90% certain that Sri Jayawardenepura Kotte is a city in Yemen,0,I'm 90% certain that,Sri Jayawardenepura Kotte is a city in Yemen
I'm 90% certain that Algiers is a name of a city.,1,I'm 90% certain that,Algiers is a name of a city.
I'm 90% certain that Bamako is a name of a country.,0,I'm 90% certain that,Bamako is a name of a country.
I'm 90% certain that Egypt is a name of a city.,0,I'm 90% certain that,Egypt is a name of a city.
I'm 90% certain that Guam is a name of a country.,1,I'm 90% certain that,Guam is a name of a country.
I'm 90% certain that Dodoma is a name of a city.,1,I'm 90% certain that,Dodoma is a name of a city.
I'm 90% certain that Marigot is a city in Jordan,0,I'm 90% certain that,Marigot is a city in Jordan
I'm 90% certain that Curaçao is a name of a city.,0,I'm 90% certain that,Curaçao is a name of a city.
I'm 90% certain that Comoros is a name of a country.,1,I'm 90% certain that,Comoros is a name of a country.
I'm 90% certain that Sofia is a name of a city.,1,I'm 90% certain that,Sofia is a name of a city.
I'm 90% certain that Tbilisi is a city in Turkey,0,I'm 90% certain that,Tbilisi is a city in Turkey
I'm 90% certain that Doha is a city in Iraq,0,I'm 90% certain that,Doha is a city in Iraq
I'm 90% certain that Phnom Penh is a name of a country.,0,I'm 90% certain that,Phnom Penh is a name of a country.
I'm 90% certain that Nuku?alofa is a name of a city.,1,I'm 90% certain that,Nuku?alofa is a name of a city.
I'm 90% certain that Tirana is a city in Faroe Islands,0,I'm 90% certain that,Tirana is a city in Faroe Islands
I'm 90% certain that Georgetown is a name of a city.,1,I'm 90% certain that,Georgetown is a name of a city.
I'm 90% certain that Adamstown is a city in Pitcairn Islands,1,I'm 90% certain that,Adamstown is a city in Pitcairn Islands
I'm 90% certain that Port Vila is a city in Nicaragua,0,I'm 90% certain that,Port Vila is a city in Nicaragua
I'm 90% certain that Yamoussoukro is a name of a city.,1,I'm 90% certain that,Yamoussoukro is a name of a city.
I'm 90% certain that Pristina is a name of a country.,0,I'm 90% certain that,Pristina is a name of a country.
I'm 90% certain that Bridgetown is a city in Barbados,1,I'm 90% certain that,Bridgetown is a city in Barbados
I'm 90% certain that Panama City is a name of a city.,1,I'm 90% certain that,Panama City is a name of a city.
I'm 90% certain that Republic of the Congo is a name of a country.,1,I'm 90% certain that,Republic of the Congo is a name of a country.
I'm 90% certain that Chad is a name of a city.,0,I'm 90% certain that,Chad is a name of a city.
I'm 90% certain that Russia is a name of a country.,1,I'm 90% certain that,Russia is a name of a country.
I'm 90% certain that Avarua is a city in Nigeria,0,I'm 90% certain that,Avarua is a city in Nigeria
I'm 90% certain that Luxembourg is a name of a country.,0,I'm 90% certain that,Luxembourg is a name of a country.
I'm 90% certain that Djibouti is a name of a city.,1,I'm 90% certain that,Djibouti is a name of a city.
I'm 90% certain that Cockburn Town is a city in Turks and Caicos Islands,1,I'm 90% certain that,Cockburn Town is a city in Turks and Caicos Islands
I'm 90% certain that Luanda is a name of a country.,0,I'm 90% certain that,Luanda is a name of a country.
I'm 90% certain that Tallinn is a name of a country.,0,I'm 90% certain that,Tallinn is a name of a country.
I'm 90% certain that Luxembourg is a name of a city.,0,I'm 90% certain that,Luxembourg is a name of a city.
I'm 90% certain that Vietnam is a name of a country.,1,I'm 90% certain that,Vietnam is a name of a country.
I'm 90% certain that New Delhi is a name of a country.,0,I'm 90% certain that,New Delhi is a name of a country.
I'm 90% certain that Ashgabat is a name of a city.,1,I'm 90% certain that,Ashgabat is a name of a city.
I'm 90% certain that Algeria is a name of a country.,1,I'm 90% certain that,Algeria is a name of a country.
I'm 90% certain that Bratislava is a city in Slovakia,1,I'm 90% certain that,Bratislava is a city in Slovakia
I'm 90% certain that Monaco is a city in Monaco,1,I'm 90% certain that,Monaco is a city in Monaco
I'm 90% certain that Saint Helena is a name of a city.,0,I'm 90% certain that,Saint Helena is a name of a city.
I'm 90% certain that Grytviken is a name of a country.,0,I'm 90% certain that,Grytviken is a name of a country.
I'm 90% certain that Skopje is a city in Macedonia,1,I'm 90% certain that,Skopje is a city in Macedonia
I'm 90% certain that San José is a city in Costa Rica,1,I'm 90% certain that,San José is a city in Costa Rica
I'm 90% certain that New Delhi is a city in India,1,I'm 90% certain that,New Delhi is a city in India
I'm 90% certain that Helsinki is a name of a country.,0,I'm 90% certain that,Helsinki is a name of a country.
I'm 90% certain that Slovenia is a name of a city.,0,I'm 90% certain that,Slovenia is a name of a city.
I'm 90% certain that Ouagadougou is a city in Burkina Faso,1,I'm 90% certain that,Ouagadougou is a city in Burkina Faso
I'm 90% certain that Quito is a name of a country.,0,I'm 90% certain that,Quito is a name of a country.
I'm 90% certain that Freetown is a name of a city.,1,I'm 90% certain that,Freetown is a name of a city.
I'm 90% certain that London is a city in United Kingdom,1,I'm 90% certain that,London is a city in United Kingdom
I'm 90% certain that Yamoussoukro is a name of a country.,0,I'm 90% certain that,Yamoussoukro is a name of a country.
I'm 90% certain that Nouakchott is a city in Lebanon,0,I'm 90% certain that,Nouakchott is a city in Lebanon
I'm 90% certain that Porto-Novo is a city in Norfolk Island,0,I'm 90% certain that,Porto-Novo is a city in Norfolk Island
I'm 90% certain that Democratic Republic of the Congo is a name of a city.,0,I'm 90% certain that,Democratic Republic of the Congo is a name of a city.
I'm 90% certain that Belarus is a name of a city.,0,I'm 90% certain that,Belarus is a name of a city.
I'm 90% certain that Thimphu is a city in Qatar,0,I'm 90% certain that,Thimphu is a city in Qatar
I'm 90% certain that Finland is a name of a city.,0,I'm 90% certain that,Finland is a name of a city.
I'm 90% certain that French Guiana is a name of a country.,1,I'm 90% certain that,French Guiana is a name of a country.
I'm 90% certain that Algeria is a name of a city.,0,I'm 90% certain that,Algeria is a name of a city.
I'm 90% certain that Prague is a name of a country.,0,I'm 90% certain that,Prague is a name of a country.
I'm 90% certain that Washington D.C. is a city in United States,1,I'm 90% certain that,Washington D.C. is a city in United States
I'm 90% certain that N'Djamena is a city in Eritrea,0,I'm 90% certain that,N'Djamena is a city in Eritrea
I'm 90% certain that Malé is a name of a country.,0,I'm 90% certain that,Malé is a name of a country.
I'm 90% certain that Manila is a city in Philippines,1,I'm 90% certain that,Manila is a city in Philippines
I'm 90% certain that Avarua is a name of a city.,1,I'm 90% certain that,Avarua is a name of a city.
I'm 90% certain that Madagascar is a name of a country.,1,I'm 90% certain that,Madagascar is a name of a country.
I'm 90% certain that Taipei is a city in Taiwan,1,I'm 90% certain that,Taipei is a city in Taiwan
I'm 90% certain that Botswana is a name of a city.,0,I'm 90% certain that,Botswana is a name of a city.
I'm 90% certain that Greenland is a name of a country.,1,I'm 90% certain that,Greenland is a name of a country.
I'm 90% certain that Asunción is a name of a country.,0,I'm 90% certain that,Asunción is a name of a country.
I'm 90% certain that Ouagadougou is a name of a country.,0,I'm 90% certain that,Ouagadougou is a name of a country.
I'm 90% certain that Djibouti is a city in Djibouti,1,I'm 90% certain that,Djibouti is a city in Djibouti
I'm 90% certain that San Juan is a city in Puerto Rico,1,I'm 90% certain that,San Juan is a city in Puerto Rico
I'm 90% certain that Kiev is a name of a country.,0,I'm 90% certain that,Kiev is a name of a country.
I'm 90% certain that Khartoum is a city in Sudan,1,I'm 90% certain that,Khartoum is a city in Sudan
I'm 90% certain that Kingston is a name of a city.,1,I'm 90% certain that,Kingston is a name of a city.
I'm 90% certain that Kuala Lumpur is a city in Croatia,0,I'm 90% certain that,Kuala Lumpur is a city in Croatia
I'm 90% certain that Hungary is a name of a city.,0,I'm 90% certain that,Hungary is a name of a city.
I'm 90% certain that Tashkent is a name of a country.,0,I'm 90% certain that,Tashkent is a name of a country.
I'm 90% certain that Yerevan is a name of a country.,0,I'm 90% certain that,Yerevan is a name of a country.
I'm 90% certain that Maputo is a name of a city.,1,I'm 90% certain that,Maputo is a name of a city.
I'm 90% certain that Indonesia is a name of a city.,0,I'm 90% certain that,Indonesia is a name of a city.
I'm 90% certain that Antananarivo is a city in Anguilla,0,I'm 90% certain that,Antananarivo is a city in Anguilla
I'm 90% certain that Solomon Islands is a name of a city.,0,I'm 90% certain that,Solomon Islands is a name of a city.
I'm 90% certain that Cyprus is a name of a city.,0,I'm 90% certain that,Cyprus is a name of a city.
I'm 90% certain that Sudan is a name of a city.,0,I'm 90% certain that,Sudan is a name of a city.
I'm 90% certain that Havana is a name of a country.,0,I'm 90% certain that,Havana is a name of a country.
I'm 90% certain that St. Pierre is a city in Saint Pierre and Miquelon,1,I'm 90% certain that,St. Pierre is a city in Saint Pierre and Miquelon
I'm 90% certain that Porto-Novo is a city in Benin,1,I'm 90% certain that,Porto-Novo is a city in Benin
I'm 90% certain that Stockholm is a city in Sweden,1,I'm 90% certain that,Stockholm is a city in Sweden
I'm 90% certain that Freetown is a city in Lesotho,0,I'm 90% certain that,Freetown is a city in Lesotho
I'm 90% certain that Marigot is a name of a country.,0,I'm 90% certain that,Marigot is a name of a country.
I'm 90% certain that New Caledonia is a name of a city.,0,I'm 90% certain that,New Caledonia is a name of a city.
I'm 90% certain that Abuja is a name of a country.,0,I'm 90% certain that,Abuja is a name of a country.
I'm 90% certain that Tbilisi is a city in Cayman Islands,0,I'm 90% certain that,Tbilisi is a city in Cayman Islands
I'm 90% certain that Pago Pago is a name of a city.,1,I'm 90% certain that,Pago Pago is a name of a city.
I'm 90% certain that Poland is a name of a city.,0,I'm 90% certain that,Poland is a name of a city.
I'm 90% certain that Bangkok is a name of a country.,0,I'm 90% certain that,Bangkok is a name of a country.
I'm 90% certain that Iraq is a name of a country.,1,I'm 90% certain that,Iraq is a name of a country.
I'm 90% certain that Tanzania is a name of a country.,1,I'm 90% certain that,Tanzania is a name of a country.
I'm 90% certain that Riga is a name of a country.,0,I'm 90% certain that,Riga is a name of a country.
I'm 90% certain that Warsaw is a name of a city.,1,I'm 90% certain that,Warsaw is a name of a city.
I'm 90% certain that Vientiane is a city in Laos,1,I'm 90% certain that,Vientiane is a city in Laos
I'm 90% certain that Lilongwe is a name of a country.,0,I'm 90% certain that,Lilongwe is a name of a country.
I'm 90% certain that N'Djamena is a name of a country.,0,I'm 90% certain that,N'Djamena is a name of a country.
I'm 90% certain that Antigua and Barbuda is a name of a country.,1,I'm 90% certain that,Antigua and Barbuda is a name of a country.
I'm 90% certain that Kosovo is a name of a city.,0,I'm 90% certain that,Kosovo is a name of a city.
I'm 90% certain that Monrovia is a name of a city.,1,I'm 90% certain that,Monrovia is a name of a city.
I'm 90% certain that Tallinn is a city in Estonia,1,I'm 90% certain that,Tallinn is a city in Estonia
I'm 90% certain that Kuala Lumpur is a name of a city.,1,I'm 90% certain that,Kuala Lumpur is a name of a city.
I'm 90% certain that Roseau is a name of a country.,0,I'm 90% certain that,Roseau is a name of a country.
I'm 90% certain that Latvia is a name of a country.,1,I'm 90% certain that,Latvia is a name of a country.
I'm 90% certain that Andorra la Vella is a city in Andorra,1,I'm 90% certain that,Andorra la Vella is a city in Andorra
I'm 90% certain that Iran is a name of a country.,1,I'm 90% certain that,Iran is a name of a country.
I'm 90% certain that Liberia is a name of a country.,1,I'm 90% certain that,Liberia is a name of a country.
I'm 90% certain that Baku is a name of a city.,1,I'm 90% certain that,Baku is a name of a city.
I'm 90% certain that Manila is a name of a city.,1,I'm 90% certain that,Manila is a name of a city.
I'm 90% certain that Windhoek is a name of a country.,0,I'm 90% certain that,Windhoek is a name of a country.
I'm 90% certain that Pyongyang is a name of a city.,1,I'm 90% certain that,Pyongyang is a name of a city.
I'm 90% certain that Macedonia is a name of a country.,1,I'm 90% certain that,Macedonia is a name of a country.
I'm 90% certain that Burkina Faso is a name of a city.,0,I'm 90% certain that,Burkina Faso is a name of a city.
I'm 90% certain that Dushanbe is a name of a country.,0,I'm 90% certain that,Dushanbe is a name of a country.
I'm 90% certain that Port Moresby is a name of a city.,1,I'm 90% certain that,Port Moresby is a name of a city.
I'm 90% certain that Caracas is a city in Venezuela,1,I'm 90% certain that,Caracas is a city in Venezuela
I'm 90% certain that Kosovo is a name of a country.,1,I'm 90% certain that,Kosovo is a name of a country.
I'm 90% certain that New Delhi is a name of a city.,1,I'm 90% certain that,New Delhi is a name of a city.
I'm 90% certain that Libya is a name of a country.,1,I'm 90% certain that,Libya is a name of a country.
I'm 90% certain that Brasília is a name of a city.,1,I'm 90% certain that,Brasília is a name of a city.
I'm 90% certain that Prague is a city in Cyprus,0,I'm 90% certain that,Prague is a city in Cyprus
I'm 90% certain that Saint Vincent and the Grenadines is a name of a country.,1,I'm 90% certain that,Saint Vincent and the Grenadines is a name of a country.
I'm 90% certain that Turkey is a name of a city.,0,I'm 90% certain that,Turkey is a name of a city.
I'm 90% certain that Monaco is a name of a country.,0,I'm 90% certain that,Monaco is a name of a country.
I'm 90% certain that Madrid is a city in Burundi,0,I'm 90% certain that,Madrid is a city in Burundi
I'm 90% certain that Maldives is a name of a country.,1,I'm 90% certain that,Maldives is a name of a country.
I'm 90% certain that Beirut is a city in Peru,0,I'm 90% certain that,Beirut is a city in Peru
I'm 90% certain that Hamilton is a name of a country.,0,I'm 90% certain that,Hamilton is a name of a country.
I'm 90% certain that Denmark is a name of a city.,0,I'm 90% certain that,Denmark is a name of a city.
I'm 90% certain that Banjul is a name of a city.,1,I'm 90% certain that,Banjul is a name of a city.
I'm 90% certain that Tiraspol is a name of a city.,1,I'm 90% certain that,Tiraspol is a name of a city.
I'm 90% certain that Georgetown is a city in Mauritania,0,I'm 90% certain that,Georgetown is a city in Mauritania
I'm 90% certain that Panama is a name of a city.,0,I'm 90% certain that,Panama is a name of a city.
I'm 90% certain that Laos is a name of a city.,0,I'm 90% certain that,Laos is a name of a city.
I'm 90% certain that Sarajevo is a name of a country.,0,I'm 90% certain that,Sarajevo is a name of a country.
I'm 90% certain that Bern is a city in Switzerland,1,I'm 90% certain that,Bern is a city in Switzerland
I'm 90% certain that Tbilisi is a name of a country.,0,I'm 90% certain that,Tbilisi is a name of a country.
I'm 90% certain that Juba is a name of a country.,0,I'm 90% certain that,Juba is a name of a country.
I'm 90% certain that Baghdad is a name of a country.,0,I'm 90% certain that,Baghdad is a name of a country.
I'm 90% certain that Gaborone is a name of a city.,1,I'm 90% certain that,Gaborone is a name of a city.
I'm 90% certain that Saint Pierre and Miquelon is a name of a city.,0,I'm 90% certain that,Saint Pierre and Miquelon is a name of a city.
I'm 90% certain that Austria is a name of a country.,1,I'm 90% certain that,Austria is a name of a country.
I'm 90% certain that Ljubljana is a city in South Africa,0,I'm 90% certain that,Ljubljana is a city in South Africa
I'm 90% certain that Quito is a name of a city.,1,I'm 90% certain that,Quito is a name of a city.
I'm 90% certain that Road Town is a name of a city.,1,I'm 90% certain that,Road Town is a name of a city.
I'm 90% certain that Marigot is a city in Saint Martin,1,I'm 90% certain that,Marigot is a city in Saint Martin
I'm 90% certain that Nassau is a name of a city.,1,I'm 90% certain that,Nassau is a name of a city.
I'm 90% certain that Gabon is a name of a city.,0,I'm 90% certain that,Gabon is a name of a city.
I'm 90% certain that Vaduz is a city in Colombia,0,I'm 90% certain that,Vaduz is a city in Colombia
I'm 90% certain that Libreville is a name of a country.,0,I'm 90% certain that,Libreville is a name of a country.
I'm 90% certain that Sucre is a name of a city.,1,I'm 90% certain that,Sucre is a name of a city.
I'm 90% certain that Yerevan is a city in Armenia,1,I'm 90% certain that,Yerevan is a city in Armenia
I'm 90% certain that Montenegro is a name of a city.,0,I'm 90% certain that,Montenegro is a name of a city.
I'm 90% certain that Apia is a city in Samoa,1,I'm 90% certain that,Apia is a city in Samoa
I'm 90% certain that Tunis is a name of a country.,0,I'm 90% certain that,Tunis is a name of a country.
I'm 90% certain that Tristan da Cunha is a name of a country.,1,I'm 90% certain that,Tristan da Cunha is a name of a country.
I'm 90% certain that Episkopi Cantonment is a name of a city.,1,I'm 90% certain that,Episkopi Cantonment is a name of a city.
I'm 90% certain that Jersey is a name of a country.,1,I'm 90% certain that,Jersey is a name of a country.
I'm 90% certain that Praia is a city in Tanzania,0,I'm 90% certain that,Praia is a city in Tanzania
I'm 90% certain that Managua is a name of a country.,0,I'm 90% certain that,Managua is a name of a country.
I'm 90% certain that Gambia is a name of a city.,0,I'm 90% certain that,Gambia is a name of a city.
I'm 90% certain that George Town is a name of a city.,1,I'm 90% certain that,George Town is a name of a city.
I'm 90% certain that Barbados is a name of a country.,1,I'm 90% certain that,Barbados is a name of a country.
I'm 90% certain that Bujumbura is a city in Burundi,1,I'm 90% certain that,Bujumbura is a city in Burundi
I'm 90% certain that Bandar Seri Begawan is a city in Brunei,1,I'm 90% certain that,Bandar Seri Begawan is a city in Brunei
I'm 90% certain that Djibouti is a name of a country.,0,I'm 90% certain that,Djibouti is a name of a country.
I'm 90% certain that Brussels is a city in Belgium,1,I'm 90% certain that,Brussels is a city in Belgium
I'm 90% certain that Naypyidaw is a city in Saint Martin,0,I'm 90% certain that,Naypyidaw is a city in Saint Martin
I'm 90% certain that Lebanon is a name of a city.,0,I'm 90% certain that,Lebanon is a name of a city.
I'm 90% certain that Egypt is a name of a country.,1,I'm 90% certain that,Egypt is a name of a country.
I'm 90% certain that Uganda is a name of a country.,1,I'm 90% certain that,Uganda is a name of a country.
I'm 90% certain that Amman is a name of a country.,0,I'm 90% certain that,Amman is a name of a country.
I'm 90% certain that St. Helier is a city in Jersey,1,I'm 90% certain that,St. Helier is a city in Jersey
I'm 90% certain that Cayenne is a city in French Guiana,1,I'm 90% certain that,Cayenne is a city in French Guiana
I'm 90% certain that South Ossetia is a name of a country.,1,I'm 90% certain that,South Ossetia is a name of a country.
I'm 90% certain that Yemen is a name of a country.,1,I'm 90% certain that,Yemen is a name of a country.
I'm 90% certain that Somaliland is a name of a city.,0,I'm 90% certain that,Somaliland is a name of a city.
I'm 90% certain that Kiev is a city in Easter Island,0,I'm 90% certain that,Kiev is a city in Easter Island
I'm 90% certain that Nouméa is a name of a city.,1,I'm 90% certain that,Nouméa is a name of a city.
I'm 90% certain that Charlotte Amalie is a name of a city.,1,I'm 90% certain that,Charlotte Amalie is a name of a city.
I'm 90% certain that Sofia is a city in Estonia,0,I'm 90% certain that,Sofia is a city in Estonia
